0|caf01f7d6c6e6098f5367d7177133cdd|Was sollen wir nur tun?
1|8ec26508fdc34143cfb1abdb43090721|Darf ich die Fee sein?
2|b7f533ae2c2a726f1676613ed183163a|Und welches Baujahr?
3|fd9338593b1a5ec176616b8ebbb90d2c|San Jose
4|0455288e2a3ebf437da69991e7f470a6|Wer die lauteste Hupe hat, hat Vorfahrt.
5|b2be3f90bbc7633c8879e2d7890175ab|Im Brutkasten ist es mollige siebenunddreißig Grad warm.
6|531880ef5b270c972285ee88fac5994d|Dass solche Operationen trotzdem durchgeführt werden, ist beschämend.
7|ebd1d7d442952f024a7188b93ed64f36|Induzieren Neonicotinoide das Bienensterben?
8|1797f5a0ceabd54dd277491ec85a4298|Kommst du aus den Vereinigten Staaten?
9|5150eeae76c4a3c1cee8f5d7f1516f2f|Aus der allgemeinen Gasgleichung ergibt sich, dass die Ladeluft gekühlt werden sollte.
10|4b157e013cb872b1897f1cb90d529cfe|Deshalb ist die Ministerin gerade auf einer Stippvisite in Luzern.
11|dc7e7d487858a1c1033fc13e66a2cde4|Ich weiß nicht, was du von mir willst.
12|0c8131d10ab17a5538104a29f8b47cdd|Schreib dir das hinter die Ohren!
13|6f802e30628659b3897d180523305330|Bei Johann Andreas von Segner.
14|1c4b3ddffbe779358585e71cd05a8f0f|Egal wie laut wir jetzt warnen, hinterher wird es wieder niemand kommen gesehen haben.
15|b597b00c8f22101ea0117d61aa498a8c|Den öffentlichen Personennahverkehr mit Linienbussen betreiben die Verkehrsbetriebe Hamburg-Holstein innerhalb des Hamburger Verkehrsverbundes.
16|8939cc388d0781a12ae9c44ef706aa2d|Der Zeuge ist ein bezahlter Schauspieler.
17|d4ae8523d19e4c8f1c2ea84ce9d721f8|Torben hat doch immer so viel Werkzeug.
18|349dd9b826ff5e540ee1089a25366f5a|Ich habe jetzt meinen Bürgerdialog durchgeführt und habe festgestellt, dass viele Menschen sich ehrenamtlich einbringen.
19|7fa6fcb958ac5b8367a2f0159c70c217|Genau genommen ist dies der Grund, warum Sie diesen Satz gerade vorlesen.
20|fa282f0102fd389c4e81c24aecb5024b|Folklore ist der sichtbare Ausdruck des immateriellen kulturellen Erbes.
21|9e840ab9a0e0794d63a27460a9d4e9c4|Blütenweiß,
22|2e2ba16df7559be42dd398fe44da606c|Es gibt nichts, was es nicht gibt.
23|cfecb275c412be41401f979accdab756|stelle die Helligkeit auf automatisch
24|548c9993e0c7b48805a50b3e6caf7333|Charter mir bitte einen Charterflug.
25|4c5928af121a4d688de903b4b444c9c9|Wieso? Eigentlich war es doch ganz witzig.
26|31c5795e84dc3678229f1d045faaaea9|Es kann mir keiner erzählen, dass das nicht ginge.
27|c1f73d3003b59580e0ddc2c76877adf4|Hirsch heiß ich nicht.
28|191f418c4ca2fdf02ba91d806dc5cb8c|Dies bezogen auf die Gesamtkilometer, dreißig Cent pro gefahrenen Kilometer.
29|bdf9c43a9c201463481b6a486f0eb948|Doch wie gelingt ihm diese Quadratur des Kreises?
30|1de6125a53c630988de9584680342bd2|Oxytocin beschleunigt die Wundheilung.
31|975cd9ab82abc7ad57dee395b792644b|In Scharen strömen die Leute ins Musical.
32|ce8286ffe4a1ba27eb230ce50495533c|Wissensdatenbank zurücksetzen
33|761f3ec0bdedadaadff3aa55302d5dbc|Um die Wichtigkeit der Länge zu betonen, sprechen manche auch von einer Passphrase.
34|9b677d80b95c8aa0c14170802e031eb4|Vier Stunden Autofahrt am Stück sind nichts für Leute mit Blasenschwäche.
35|e7b18d26a4818a2c76ed3533c111eef4|Die Hände auf den Rücken!
36|1b11c3918c618a2822bc28a3a1c1e4c8|automatisch
